Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,ID,Uri,Ref_Track,URL_features,Duration_ms,time_signature,Genre
SunDown,0.713,0.205,2,-17.428,1,0.0435,0.836,0.456,0.0543,0.439,120.574,audio_features,0DA3S3aP5vYckDrnGHIyjH,spotify:track:0DA3S3aP5vYckDrnGHIyjH,https://api.spotify.com/v1/tracks/0DA3S3aP5vYckDrnGHIyjH,https://api.spotify.com/v1/audio-analysis/0DA3S3aP5vYckDrnGHIyjH,363800,4,acoustic
SongforMyFather,0.561,0.561,5,-12.54,0,0.0361,0.496,0.823,0.123,0.709,129.97,audio_features,1sBzFfeMbTnSZBVvHwi4Iv,spotify:track:1sBzFfeMbTnSZBVvHwi4Iv,https://api.spotify.com/v1/tracks/1sBzFfeMbTnSZBVvHwi4Iv,https://api.spotify.com/v1/audio-analysis/1sBzFfeMbTnSZBVvHwi4Iv,318933,4,acoustic
TheLesson,0.511,0.362,7,-17.08,0,0.0541,0.806,0.87,0.104,0.54,96.143,audio_features,7K2kv5hSuJPi61vYJeGKEO,spotify:track:7K2kv5hSuJPi61vYJeGKEO,https://api.spotify.com/v1/tracks/7K2kv5hSuJPi61vYJeGKEO,https://api.spotify.com/v1/audio-analysis/7K2kv5hSuJPi61vYJeGKEO,355187,3,acoustic
WhataDifferenceaDayMakes,0.579,0.423,0,-8.773,0,0.0291,0.567,0,0.0993,0.449,130.689,audio_features,6UHcUqkPi1ljQBToIHHSE4,spotify:track:6UHcUqkPi1ljQBToIHHSE4,https://api.spotify.com/v1/tracks/6UHcUqkPi1ljQBToIHHSE4,https://api.spotify.com/v1/audio-analysis/6UHcUqkPi1ljQBToIHHSE4,222067,4,acoustic
Sunnyside,0.594,0.703,2,-6.931,1,0.0354,0.0587,0.752,0.0727,0.589,77.861,audio_features,6Hvqg5pABQwLRuvF1NDY1x,spotify:track:6Hvqg5pABQwLRuvF1NDY1x,https://api.spotify.com/v1/tracks/6Hvqg5pABQwLRuvF1NDY1x,https://api.spotify.com/v1/audio-analysis/6Hvqg5pABQwLRuvF1NDY1x,449307,4,acoustic
ManintheMoon,0.689,0.422,0,-12.474,1,0.0304,0.112,0.85,0.121,0.821,95.732,audio_features,3fNAxXU8aP2tlJhBde1JU3,spotify:track:3fNAxXU8aP2tlJhBde1JU3,https://api.spotify.com/v1/tracks/3fNAxXU8aP2tlJhBde1JU3,https://api.spotify.com/v1/audio-analysis/3fNAxXU8aP2tlJhBde1JU3,277560,4,acoustic
TopSecret,0.708,0.693,11,-14.353,1,0.0564,0.122,0.85,0.0562,0.962,94.277,audio_features,43SFzqwVBJqfH7iwO6JYGc,spotify:track:43SFzqwVBJqfH7iwO6JYGc,https://api.spotify.com/v1/tracks/43SFzqwVBJqfH7iwO6JYGc,https://api.spotify.com/v1/audio-analysis/43SFzqwVBJqfH7iwO6JYGc,370667,4,acoustic
MatineeIdol-RemasteredVersion,0.612,0.795,0,-11.291,1,0.0359,0.213,0.934,0.0363,0.893,108.484,audio_features,2tFVlwStGdb5a5PHjcHRMt,spotify:track:2tFVlwStGdb5a5PHjcHRMt,https://api.spotify.com/v1/tracks/2tFVlwStGdb5a5PHjcHRMt,https://api.spotify.com/v1/audio-analysis/2tFVlwStGdb5a5PHjcHRMt,312400,4,acoustic
JacketTown,0.72,0.551,0,-11.731,1,0.0277,0.131,0.0663,0.0537,0.622,123.324,audio_features,3M2hrMjK1f5fWh8PS7y70F,spotify:track:3M2hrMjK1f5fWh8PS7y70F,https://api.spotify.com/v1/tracks/3M2hrMjK1f5fWh8PS7y70F,https://api.spotify.com/v1/audio-analysis/3M2hrMjK1f5fWh8PS7y70F,320253,5,acoustic
InevitableOutcome,0.442,0.738,0,-9.279,1,0.0439,0.738,0.589,0.0532,0.77,68.727,audio_features,1UXxzSvZjs7cK5QRIIen10,spotify:track:1UXxzSvZjs7cK5QRIIen10,https://api.spotify.com/v1/tracks/1UXxzSvZjs7cK5QRIIen10,https://api.spotify.com/v1/audio-analysis/1UXxzSvZjs7cK5QRIIen10,341971,4,acoustic
